Speiseplan KW 11;;;;;;;;;;;;
;Montag;;Dienstag;;Mittwoch;;;Donnerstag;;;Freitag;
;10.03.2014;;11.03.2014;;12.03.2014;;;13.03.2014;;;14.03.2014;
Suppe;Tagessuppe;;Tagessuppe;;Tagessuppe;;;Tagessuppe;;;Tagessuppe;
;;0,70 €;;0,70 €;;0,70 €;;;0,70 €;;;0,70 €
aus dem Ofen;;;;;;;;;;;;
;;;;;;;;;;;;
Die Traditionellen;Hähnchenbrustfilet in Knuspermantel, Pfefferrahmsoße (3);;Riesenhamburger mit Tomate, Gurken und Salat (3);;Scholle natur gebraten, Weißweinsoße;;;Spanischer Feuertopf mit Paprika, Perlzwiebeln in Chilisoße (2);;;Thüringer Rostbrätl,Schmorzwiebeln;
;;2,90 €;;3,80 €;;2,90 €;;;3,00 €;;;3,00 €
Wok, Grill, Pasta;Thüringer Bratwurst (8), Bratensoße;;Fränkischer Sauerbraten (4);;Hackbraten vom Rind und Schwein;;;"""Crispy Buttermilk Fried Chicken"" Buttermilch Hähnchen,Sourcream";;;Südlicher Blauer Wittling in knuspriger Panade (3), Joghurt-Kräuter-Dip;
;;2,90 €;;3,30 €;;2,80 €;;;2,90 €;;;2,90 €
Die Vegetarischen;Asiapfanne mit Reis, Wokgemüse & Champignon pikant gewürzt (2, 4);;Pfannen-Rührei, Rahmspinat;;Tortellini Ricotta Spinaci mit Frühlingsgemüse;;;Hausgemachter Quarkauflauf mit Mandeln;;;Gemüsecurry mit Koriander & scharfem Curry;
;;2,40 €;;2,30 €;;3,10 €;;;2,10 €;;;2,50 €
Gemüse & Co;"Kohlrabigemüse in Rahm 
Prinzessbohnen";;"Apfelrotkohl (3) 
Speck-Rosenkohl (2, 3)";;"Romanesco 
Asiatisches Gemüse (2, 4)";;;"Wirsinggemüse in Rahm (2, 3) 
Paprika-Erbsengemüse (1)";;;"Walnußmöhren 
Kaiserschoten";
;;0,70 €;;0,70 €;;0,70 €;;;0,70 €;;;0,70 €
Beilagen;"Schupfnudeln 
Kartoffelkroketten";;"Kartoffelpüree (3) 
Pommes frites";;"Pilawreis 
Kartoffelsalat mit Essig Öl (2)";;;"Lyoner Bratkartoffeln (1) 
Eierspätzle";;;"Pommes frites 
Kartoffelecken";
;;0,70 €;;0,70 €;;0,70 €;;;0,70 €;;;0,70 €
Salateria;Bitte bedienen Sie sich an unserem reichhaltigen Salatbüffet 100 gr EUR 0,70;;;;;;;;;;;
Genießer-Cup;Zitronenquark;;Schokoladenpudding mit Sahnehaube & Dekor;;Rhabarberkompott, dazu Soße mit Vanillegeschmack;;;Aprikosen-Schicht-Joghurt;;;Quark-Puddingcreme mit frischem Obst;
;;0,50 €;;0,50 €;;0,50 €;;;0,50 €;;;0,50 €
